Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Post,Image_Text,Image_URL
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
The 16th Finance Commission,Video,Fake News,A false claim that be/vd3ZdeZS9jM A post claiming to show a letter from the Indian Ministry of Commerce and… https://youtu,"TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the ","TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the world’s largest networks… TL;DR: The 16th Finance Commission marks a shift toward rewarding economic performance, benefiting southern States through… TL;DR: Central Public Sector Enterprises (CPSEs) c",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Narendra Modi,Video,Political Misinformation,A false claim that A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://youtu.be/w5owRZxrhe4 Update (08 August 2023): Another post sharing an URL and the screenshot of a… The Parliamentary Standing Committee on Housing & Urban Affairs recently submitted a report on the… I,https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
"Fact-Check Team

Fact-Check Team

Rakesh Dubbudu",Video,Fake News,"A false claim that Murshid Molayil (Research Analyst)

Murshid has a postgraduate degree in Social Science and specialises in researching and analysing social media trends","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate ","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate about Governance/Policy issues.

Bharath Guniganti (Editor)

Bharat is a Data enthusiast and is keen about fact-checking.

Harshavardhan Konda (Lead Fact-Checker)

Harshavardhan is an Engineer by educ",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Rajdeep Sardesai,YouTube,Investment Scam,A false claim that Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments,"Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments.

Conclusion: The claim is totally false. The video has bee","Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments.

Conclusion: The claim is totally false. The video has been altered by AI to spread fake information.

Rating: Totally false —

A video has been circulating on social media allegedly featuring journalist Rajdeep Sardesai and Finance Minister of India, Nirmal",
Maharashtra,Social Media,Investment Scam,A false claim that Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees,Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees. Fact: False. Ajit Pawar did not leave any will revealing a money-making invest,"Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees. Fact: False. Ajit Pawar did not leave any will revealing a money-making investment platform. The Facebook ads are part of a fraudulent scheme.

Hyderabad: Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pun",
ITR,Other,Fake News,A false claim that ITR-6: Companies (except those claiming exemptions),"TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpay","TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpayers (ITR-1) still dominating, though their share is falling, while returns under ITR-2 (capital gains/complex incomes) and ITR-4 (small businesses/professionals) have risen.

Context:

Income Tax Retu",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Maharashtra,Social Media,Investment Scam,"A false claim that After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement b","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores. The advertisement features Pawar’s image",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Nirmala Sitharaman,Deepfake Video,Investment Scam,A false claim that A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media,A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media. The video ,"A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media. The video purportedly shows them urging Indian citizens to invest ₹21,000 in the project, promising returns of ₹15 lakh in a month. Let’s verify the authenticity of this video.

Archived post can be seen here

",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
UNESCO,News Article,Investment Scam,A false claim related to financial misinformation.,UNESCO believes that Community Radio has the potential to democratize communication & broadcasting. But despite… According to the data provided by the Ministry of Finance in reply to an RTI… Arun Jait,"UNESCO believes that Community Radio has the potential to democratize communication & broadcasting. But despite… According to the data provided by the Ministry of Finance in reply to an RTI… Arun Jaitley has presented his second budget for the year 2015-16, in the Parliament. He… Now that we learnt everything about SEZs in our first article, why they were created,… The Parliament is debating the a",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Union Home,YouTube,Investment Scam,A false claim that A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally,"A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally.



Screengr","A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally.



Screengrab from Facebook post by @EMVECONSULTING

Also Read: This Viral Video Shows Wrestling Tournament In Rajasthan, Not ‘Save Aravalli’ Protest

Evidence

1. No Credible Reports or Official Confirmation


",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
NC Media Networks Pvt,Other,Fake News,A false claim that We welcome our readers to send us claims to fact check,"About Us

Newchecker.in is an independent fact-checking initiative of NC Media Networks Pvt. Ltd. We welcome our readers to send us claims to fact check. If you believe a story or statement deserves a","About Us

Newchecker.in is an independent fact-checking initiative of NC Media Networks Pvt. Ltd. We welcome our readers to send us claims to fact check. If you believe a story or statement deserves a fact check, or an error has been made with a published fact check

Contact Us: checkthis@newschecker.in",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
